排名,电影名称,评分,评价人数,简介,封面图片超链接
1,肖申克的救赎,9.7,1636582,希望让人自由。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
2,霸王别姬,9.6,1209166,风华绝代。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
3,阿甘正传,9.5,1268544,一部美国近现代史。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2559011361.jpg
4,这个杀手不太冷,9.4,1461725,怪蜀黍和小萝莉不得不说的故事。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
5,美丽人生,9.5,741621,最美的谎言。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg
6,泰坦尼克号,9.4,1208447,失去的才是永恒的。 ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
7,千与千寻,9.3,1298737,最好的宫崎骏，最好的久石让。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
8,辛德勒的名单,9.5,655119,拯救一个人，就是拯救整个世界。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
9,盗梦空间,9.3,1245820,诺兰给了我们一场无法盗取的梦。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
10,忠犬八公的故事,9.3,839811,永远都不能忘记你所爱的人。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg
11,机器人总动员,9.3,825628,小瓦力，大人生。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
12,三傻大闹宝莱坞,9.2,1129022,英俊版憨豆，高情商版谢耳朵。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
13,放牛班的春天,9.3,787697,天籁一般的童声，是最接近上帝的存在。 ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg
14,楚门的世界,9.2,880409,如果再也不能见到你，祝你早安，午安，晚安。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
15,海上钢琴师,9.2,910186,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511146807.jpg
16,星际穿越,9.3,900032,爱是一种力量，让我们超越时空感知它的存在。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg
17,大话西游之大圣娶亲,9.2,881373,一生所爱。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
18,龙猫,9.2,771257,人人心中都有个龙猫，童年就永远不会消失。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg
19,熔炉,9.3,525329,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
20,教父,9.3,561333,千万不要记恨你的对手，这样会让你失去理智。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
21,无间道,9.2,723680,香港电影史上永不过时的杰作。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
22,疯狂动物城,9.2,1023747,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg
23,当幸福来敲门,9.1,914097,平民励志片。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg
24,怦然心动,9.0,1027499,真正的幸福是来自内心深处。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg
25,触不可及,9.2,596019,满满温情的高雅喜剧。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1454259399.jpg
26,蝙蝠侠：黑暗骑士,9.2,595508,无尽的黑暗。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
27,活着,9.2,466964,张艺谋最好的电影。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg
